time,listed_usd_products,adv30_ge_5M
2017-01-31 00:00:00+00:00,3,1
2017-02-28 00:00:00+00:00,3,1
2017-03-31 00:00:00+00:00,3,2
2017-04-30 00:00:00+00:00,3,2
2017-05-31 00:00:00+00:00,3,3
2017-06-30 00:00:00+00:00,3,3
2017-07-31 00:00:00+00:00,3,3
2017-08-31 00:00:00+00:00,3,3
2017-09-30 00:00:00+00:00,3,3
2017-10-31 00:00:00+00:00,3,3
2017-11-30 00:00:00+00:00,3,3
2017-12-31 00:00:00+00:00,4,4
2018-01-31 00:00:00+00:00,4,4
2018-02-28 00:00:00+00:00,4,4
2018-03-31 00:00:00+00:00,4,4
2018-04-30 00:00:00+00:00,4,4
2018-05-31 00:00:00+00:00,4,4
2018-06-30 00:00:00+00:00,4,4
2018-07-31 00:00:00+00:00,4,4
2018-08-31 00:00:00+00:00,5,4
2018-09-30 00:00:00+00:00,5,4
2018-10-31 00:00:00+00:00,6,3
2018-11-30 00:00:00+00:00,6,4
2018-12-31 00:00:00+00:00,6,4
2019-01-31 00:00:00+00:00,6,3
2019-02-28 00:00:00+00:00,7,3
2019-03-31 00:00:00+00:00,8,3
2019-04-30 00:00:00+00:00,10,4
2019-05-31 00:00:00+00:00,10,5
2019-06-30 00:00:00+00:00,11,6
2019-07-31 00:00:00+00:00,11,6
2019-08-31 00:00:00+00:00,13,6
2019-09-30 00:00:00+00:00,14,5
2019-10-31 00:00:00+00:00,14,6
2019-11-30 00:00:00+00:00,14,5
2019-12-31 00:00:00+00:00,15,2
2020-01-31 00:00:00+00:00,16,6
2020-02-29 00:00:00+00:00,17,7
2020-03-31 00:00:00+00:00,17,8
2020-04-30 00:00:00+00:00,17,7
2020-05-31 00:00:00+00:00,18,9
2020-06-30 00:00:00+00:00,20,8
2020-07-31 00:00:00+00:00,20,10
2020-08-31 00:00:00+00:00,22,16
2020-09-30 00:00:00+00:00,27,13
2020-10-31 00:00:00+00:00,29,8
2020-11-30 00:00:00+00:00,29,13
2020-12-31 00:00:00+00:00,36,17
2021-01-31 00:00:00+00:00,36,31
2021-02-28 00:00:00+00:00,35,35
2021-03-31 00:00:00+00:00,42,41
2021-04-30 00:00:00+00:00,49,47
2021-05-31 00:00:00+00:00,54,53
2021-06-30 00:00:00+00:00,65,41
2021-07-31 00:00:00+00:00,71,33
2021-08-31 00:00:00+00:00,83,58
2021-09-30 00:00:00+00:00,93,63
2021-10-31 00:00:00+00:00,102,71
2021-11-30 00:00:00+00:00,115,81
2021-12-31 00:00:00+00:00,130,67
2022-01-31 00:00:00+00:00,142,58
2022-02-28 00:00:00+00:00,149,43
2022-03-31 00:00:00+00:00,158,44
2022-04-30 00:00:00+00:00,162,43
2022-05-31 00:00:00+00:00,165,33
2022-06-30 00:00:00+00:00,192,26
2022-07-31 00:00:00+00:00,198,29
2022-08-31 00:00:00+00:00,205,24
2022-09-30 00:00:00+00:00,211,22
2022-10-31 00:00:00+00:00,217,17
2022-11-30 00:00:00+00:00,222,21
2022-12-31 00:00:00+00:00,225,11
2023-01-31 00:00:00+00:00,228,23
2023-02-28 00:00:00+00:00,232,34
2023-03-31 00:00:00+00:00,232,27
2023-04-30 00:00:00+00:00,228,18
2023-05-31 00:00:00+00:00,232,10
2023-06-30 00:00:00+00:00,231,14
2023-07-31 00:00:00+00:00,233,15
2023-08-31 00:00:00+00:00,234,11
2023-09-30 00:00:00+00:00,237,9
2023-10-31 00:00:00+00:00,231,13
2023-11-30 00:00:00+00:00,232,26
2023-12-31 00:00:00+00:00,229,42
2024-01-31 00:00:00+00:00,229,39
2024-02-29 00:00:00+00:00,230,44
2024-03-31 00:00:00+00:00,230,64
2024-04-30 00:00:00+00:00,237,45
2024-05-31 00:00:00+00:00,237,34
2024-06-30 00:00:00+00:00,241,29
2024-07-31 00:00:00+00:00,243,31
2024-08-31 00:00:00+00:00,242,25
2024-09-30 00:00:00+00:00,248,22
2024-10-31 00:00:00+00:00,251,26
2024-11-30 00:00:00+00:00,255,58
2024-12-31 00:00:00+00:00,261,67
2025-01-31 00:00:00+00:00,265,50
2025-02-28 00:00:00+00:00,272,48
2025-03-31 00:00:00+00:00,281,36
2025-04-30 00:00:00+00:00,290,37
2025-05-31 00:00:00+00:00,290,48
2025-06-30 00:00:00+00:00,293,33
2025-07-31 00:00:00+00:00,298,46
2025-08-31 00:00:00+00:00,306,43
2025-09-30 00:00:00+00:00,317,38
2025-10-31 00:00:00+00:00,328,39
2025-11-30 00:00:00+00:00,339,41
2025-12-31 00:00:00+00:00,346,22
2026-01-31 00:00:00+00:00,354,26
2026-02-28 00:00:00+00:00,366,25
2026-03-31 00:00:00+00:00,373,16
2026-04-30 00:00:00+00:00,383,20
2026-05-31 00:00:00+00:00,389,20
2026-06-30 00:00:00+00:00,392,23
2026-07-31 00:00:00+00:00,394,15
2026-08-31 00:00:00+00:00,397,20
2026-09-30 00:00:00+00:00,394,28
