trial,case,fold_win_rate,c1_fold_wins,c2_mdd_le_btc,btc_mdd,p_vs_stronger,holm_p,sharpe,max_drawdown,cagr,total_return,ann_vol,turnover_annual,avg_gross_exposure,btc_beta,n_trades,cost_paid,delistings,drawdown_halts,daily_loss_halts,sharpe_btc_uptrend_days,sharpe_btc_downtrend_days
"H1[L=50,portfolio=btc]",base,0.2,False,True,0.766705982872582,0.45845415458454153,1.0,0.5095797398417329,0.0918578354564411,0.031537760868495246,0.1680531321482428,0.0650878464588493,0.8822146609443953,0.09180890974056607,0.08145670061988342,60,0.08066992231454444,0,0,0,0.5942095178322307,0.39113431700121476
"H1[L=50,portfolio=btc]",stress,0.2,False,True,0.7667059828725811,,,0.29162526450509024,0.10210477363027459,0.0170842882865041,0.08844097670444917,0.06541802098857447,0.8841125750402168,0.09189520339712265,0.08139935310854855,60,0.15585628900146356,0,0,0,0.3817505702796597,0.15412569434211185
"H1[L=50,portfolio=btc]",delay,0.2,False,True,0.7667059828725811,,,0.42378298592266866,0.11415461478579791,0.025725711147706054,0.13549815166072343,0.06490232663503614,0.8799255115415419,0.09081629676789348,0.08143182601959101,62,0.07912838227156248,0,0,0,0.47953015665137977,0.3499626858667886
"H1[L=50,portfolio=top5]",base,0.35,False,True,0.766705982872582,0.26347365263473654,1.0,0.7650781357407338,0.4638057360458705,0.24956604516613634,2.0483243211948676,0.3899334309085229,4.914895541870479,0.3671541618655167,0.3626689834793201,409,1.0053451400135158,0,14,33,1.0270305587288533,0.3298537068423752
"H1[L=50,portfolio=top5]",stress,0.3,False,True,0.7667059828725811,,,0.2872693291193596,0.503723591903026,0.038590291455617765,0.20855479459597714,0.37501793880540124,4.987314660737896,0.3265586519242911,0.3315216792653516,407,1.1414754744230853,0,15,31,0.4473502399746585,0.016690573763135565
"H1[L=50,portfolio=top5]",delay,0.25,False,True,0.7667059828725811,,,0.34847866787114246,0.4838454989545524,0.06184546500362775,0.3501374496657945,0.37836605610483853,4.811462105258896,0.3445336798504042,0.3387907856986575,400,0.6069929308073778,0,15,32,0.6147228080232672,-0.08181716175348129
"H1[L=100,portfolio=btc]",base,0.25,False,True,0.766705982872582,0.6792320767923208,1.0,0.30112704780221305,0.12415692123056277,0.0178298284951246,0.09243825185959542,0.0658910823861529,0.5137631940772929,0.09382099943924833,0.08546329866163097,39,0.04385065256383875,0,0,0,0.7415074230911013,-0.7179199250403887
"H1[L=100,portfolio=btc]",stress,0.25,False,True,0.7667059828725811,,,0.17413122427898248,0.13132517153783752,0.009360299367975555,0.04771263130222381,0.06599995205400672,0.5148222329124679,0.09399515742345016,0.08522997998235114,39,0.08596892547225377,0,0,0,0.6189718682443206,-0.8767024317444456
"H1[L=100,portfolio=btc]",delay,0.3,False,True,0.7667059828725811,,,0.25589368259682616,0.1152838642313665,0.014636467255243257,0.07539899330296707,0.06504135360622167,0.5137644973414547,0.09249555835839776,0.0835786837521045,38,0.04317135626125706,0,0,0,0.7151491671414262,-0.7799912753126697
"H1[L=100,portfolio=top5]",base,0.3,False,True,0.766705982872582,0.7162283771622838,1.0,0.18698455680692977,0.547190947267981,0.00428362992114395,0.021614396129536972,0.3496019858613572,3.8903278514000443,0.30201955088006777,0.2792246511829186,302,0.3610713222738481,0,15,32,0.31977244479933775,-0.13702313109000883
"H1[L=100,portfolio=top5]",stress,0.2,False,True,0.7667059828725811,,,-0.10638715830197591,0.6851837999629062,-0.095283813033467,-0.39404181069636335,0.35344496126130454,4.155996911309708,0.30263793502551883,0.28348616405120525,327,0.5762193308759014,0,16,34,0.12433980232022296,-0.7716941206075522
"H1[L=100,portfolio=top5]",delay,0.3,False,True,0.7667059828725811,,,-0.09212051721916398,0.6337829005047195,-0.09719319019712969,-0.4004126337987777,0.3686089797137898,3.891933725417279,0.30372255492548744,0.3154901027349801,333,0.28380423619886125,0,15,38,0.11517439452147639,-0.5368190374790728
H1[walk-forward],base,0.25,False,True,0.766705982872582,0.8803119688031197,1.0,-0.146803207836596,0.511253319255112,-0.08143260274849806,-0.34618622110709507,0.29044132263599715,3.362562444037039,0.22583665972256384,0.2312993382167616,261,0.23710875598935288,0,13,18,0.3014620521091709,-0.9249919355123293
