timestamp,git_hash,hypothesis,params,cost_case,delay,oos_start,oos_end,n_days,sharpe,max_drawdown,fold_win_rate,pvalue_vs_stronger,turnover,note
2026-09-24T03:36:06+00:00,d216e6e,BTC_buy_hold,{},base,0,2021-07-01,2026-06-30,1826,0.472364,0.766706,nan,nan,0.0991,benchmark
2026-09-24T03:36:06+00:00,d216e6e,EW_monthly,{},base,0,2021-07-01,2026-06-30,1826,-0.177517,0.94855,nan,nan,3.3769,benchmark
2026-09-24T03:36:06+00:00,d216e6e,BTC_buy_hold,{},stress,0,2021-07-01,2026-06-30,1826,0.469379,0.766706,nan,nan,0.0991,benchmark
2026-09-24T03:36:06+00:00,d216e6e,EW_monthly,{},stress,0,2021-07-01,2026-06-30,1826,-0.246198,0.959498,nan,nan,3.3617,benchmark
2026-09-24T03:36:06+00:00,d216e6e,BTC_buy_hold,{},delay,1,2021-07-01,2026-06-30,1826,0.469058,0.766706,nan,nan,0.0974,benchmark
2026-09-24T03:36:06+00:00,d216e6e,EW_monthly,{},delay,1,2021-07-01,2026-06-30,1826,-0.190315,0.949265,nan,nan,3.3787,benchmark
2026-09-24T03:36:06+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""btc""}",base,0,2020-07-01,2021-06-30,365,2.393725,0.065368,nan,nan,0.6587,train fold 0
2026-09-24T03:36:07+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""top5""}",base,0,2020-07-01,2021-06-30,365,0.842494,0.26998,nan,nan,6.267,train fold 0
2026-09-24T03:36:07+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""btc""}",base,0,2020-07-01,2021-06-30,365,2.479293,0.085254,nan,nan,0.6648,train fold 0
2026-09-24T03:36:07+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""top5""}",base,0,2020-07-01,2021-06-30,365,1.326871,0.246591,nan,nan,5.7868,train fold 0
2026-09-24T03:36:07+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""btc""}",base,0,2020-10-01,2021-09-30,365,2.59467,0.065368,nan,nan,0.6741,train fold 1
2026-09-24T03:36:07+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""top5""}",base,0,2020-10-01,2021-09-30,365,0.94228,0.26183,nan,nan,6.4187,train fold 1
2026-09-24T03:36:07+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""btc""}",base,0,2020-10-01,2021-09-30,365,2.181473,0.098253,nan,nan,0.5606,train fold 1
2026-09-24T03:36:07+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""top5""}",base,0,2020-10-01,2021-09-30,365,0.865852,0.246591,nan,nan,5.4745,train fold 1
2026-09-24T03:36:07+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""btc""}",base,0,2021-01-01,2021-12-31,365,1.256599,0.065368,nan,nan,0.7822,train fold 2
2026-09-24T03:36:08+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""top5""}",base,0,2021-01-01,2021-12-31,365,1.048964,0.251017,nan,nan,5.3426,train fold 2
2026-09-24T03:36:08+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""btc""}",base,0,2021-01-01,2021-12-31,365,0.671637,0.098253,nan,nan,0.5726,train fold 2
2026-09-24T03:36:08+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""top5""}",base,0,2021-01-01,2021-12-31,365,0.652658,0.235367,nan,nan,4.3761,train fold 2
2026-09-24T03:36:08+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""btc""}",base,0,2021-04-01,2022-03-31,365,0.604746,0.061927,nan,nan,0.8257,train fold 3
2026-09-24T03:36:08+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""top5""}",base,0,2021-04-01,2022-03-31,365,1.553813,0.246828,nan,nan,5.8097,train fold 3
2026-09-24T03:36:08+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""btc""}",base,0,2021-04-01,2022-03-31,365,-0.457022,0.091734,nan,nan,0.617,train fold 3
2026-09-24T03:36:08+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""top5""}",base,0,2021-04-01,2022-03-31,365,1.011346,0.242279,nan,nan,4.598,train fold 3
2026-09-24T03:36:09+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""btc""}",base,0,2021-07-01,2022-06-30,365,0.943,0.044903,nan,nan,0.57,train fold 4
2026-09-24T03:36:09+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""top5""}",base,0,2021-07-01,2022-06-30,365,1.535098,0.246828,nan,nan,4.4547,train fold 4
2026-09-24T03:36:09+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""btc""}",base,0,2021-07-01,2022-06-30,365,0.045982,0.081708,nan,nan,0.3609,train fold 4
2026-09-24T03:36:09+00:00,d216e6e,H1,"{""L"": 100, ""portfolio"": ""top5""}",base,0,2021-07-01,2022-06-30,365,0.931058,0.242279,nan,nan,3.9718,train fold 4
2026-09-24T03:36:09+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""btc""}",base,0,2021-10-01,2022-09-30,365,0.301565,0.051273,nan,nan,0.5514,train fold 5
2026-09-24T03:36:09+00:00,d216e6e,H1,"{""L"": 50, ""portfolio"": ""top5""}",base,0,2021-10-01,2022-09-30,365,0.624997,0.265768,nan,nan,3.6633,train fold 5
